stratum_id,stratum_name,sector_id,reef_id,depth_bin,area_km2,island,region
1,DEEP_AGR_SECTOR_FOREREEF,AGR_SECTOR,FOREREEF,DEEP,4.58,AGR,N.MARIAN
2,MID_AGR_SECTOR_FOREREEF,AGR_SECTOR,FOREREEF,MIDD,1.31,AGR,N.MARIAN
3,SHALLOW_AGR_SECTOR_FOREREEF,AGR_SECTOR,FOREREEF,SHAL,1.17,AGR,N.MARIAN
1,DEEP_ALA_SECTOR_FOREREEF,ALA_SECTOR,FOREREEF,DEEP,1.6,ALA,N.MARIAN
2,MID_ALA_SECTOR_FOREREEF,ALA_SECTOR,FOREREEF,MIDD,1.67,ALA,N.MARIAN
3,SHALLOW_ALA_SECTOR_FOREREEF,ALA_SECTOR,FOREREEF,SHAL,0.33,ALA,N.MARIAN
1,DEEP_ASC_SECTOR_FOREREEF,ASC_SECTOR,FOREREEF,DEEP,0.57,ASC,N.MARIAN
2,MID_ASC_SECTOR_FOREREEF,ASC_SECTOR,FOREREEF,MIDD,1.37,ASC,N.MARIAN
3,SHALLOW_ASC_SECTOR_FOREREEF,ASC_SECTOR,FOREREEF,SHAL,0.32,ASC,N.MARIAN
1,DEEP_GUG_SECTOR_FOREREEF,GUG_SECTOR,FOREREEF,DEEP,0.68,GUG,N.MARIAN
2,MID_GUG_SECTOR_FOREREEF,GUG_SECTOR,FOREREEF,MIDD,0.9,GUG,N.MARIAN
3,SHALLOW_GUG_SECTOR_FOREREEF,GUG_SECTOR,FOREREEF,SHAL,0.13,GUG,N.MARIAN
1,DEEP_FDP_SECTOR_FOREREEF,FDP_SECTOR,FOREREEF,DEEP,0.37,FDP,N.MARIAN
2,MID_FDP_SECTOR_FOREREEF,FDP_SECTOR,FOREREEF,MIDD,0.68,FDP,N.MARIAN
3,SHALLOW_FDP_SECTOR_FOREREEF,FDP_SECTOR,FOREREEF,SHAL,0.05,FDP,N.MARIAN
1,DEEP_MAU_SECTOR_FOREREEF,MAU_SECTOR,FOREREEF,DEEP,0.84,MAU,N.MARIAN
2,MID_MAU_SECTOR_FOREREEF,MAU_SECTOR,FOREREEF,MIDD,1.79,MAU,N.MARIAN
3,SHALLOW_MAU_SECTOR_FOREREEF,MAU_SECTOR,FOREREEF,SHAL,0.22,MAU,N.MARIAN
1,DEEP_PAG_SECTOR_FOREREEF,PAG_SECTOR,FOREREEF,DEEP,6.19,PAG,N.MARIAN
2,MID_PAG_SECTOR_FOREREEF,PAG_SECTOR,FOREREEF,MIDD,4.99,PAG,N.MARIAN
3,SHALLOW_PAG_SECTOR_FOREREEF,PAG_SECTOR,FOREREEF,SHAL,0.29,PAG,N.MARIAN
1,DEEP_SAR_SECTOR_FOREREEF,SAR_SECTOR,FOREREEF,DEEP,0.89,SAR,N.MARIAN
2,MID_SAR_SECTOR_FOREREEF,SAR_SECTOR,FOREREEF,MIDD,0.6,SAR,N.MARIAN
3,SHALLOW_SAR_SECTOR_FOREREEF,SAR_SECTOR,FOREREEF,SHAL,0.32,SAR,N.MARIAN
